NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC;logGL;logBp;logDp;logSD;logDD;logBd;logDd;logBT;logHTC;logSLC
n3394;170049;ovar;mand;serie: p2-m3;r;c;;fissures, roots;2;m3 +;;24;36;Med;;;;;;3;23,9;8,2;54,1;26,5;80,3;14,7;20,1;36,6;;;;;;;;;;;;;;;;
n7422;180132;bota;P1;s;;c;;fissures, weathering;2;f;;24;120;indet;;;;;;B;53,3;29,3;34,6;26,6;30,8;22,2;;;;;;;;;;;;;;;;;;
n3656;280106;bota;MT;diaf dist;r;c;;roots;1;f;;24;120;NA3;;;;;;4;;;;;21;48,1;26,9;;;;;;;;;;;;;0,0289325625984881;0,0249185633824699;;;
n8180;290109;bota;carp;escafoide;l;c;;carnivore;4;;;12;120;NR;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;
n12670;***1040;oc;RA;ext prox;r;c;;roots;1;ec;;8;9;Med;;;;;;11;;31,1;16,4;;;;;;;;;;;;;0,0113177605245325;;;;;;;;
n12818;190022;bota;AS;;l;c;;weathering, roots;2;;;;;indet;;;;;;11;;;;;;36,2;;;;;;;;;;;;;;-0,0323560364933335;;;;
n6102;280400;sudo;P1;s;;c;;roots;2;f;;24;72;Vand;;;;;;A;32,6;15;14,6;11,9;13;10;;;;;;;;;;;;;;;;;;
n688;270323;sudo;RA;diaf prox;r;c;;fissures;1;f;;12;72;Vand;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
n3402;280134;bota;RA;diaf prox;l;c;si;fissures;2;f;;12;120;NA3;;;;;;4;;85;;43;;;;;;;;;;;;0,0666913973963181;;0,114954515701699;;;;;;
n3586;280219;cafa;connexio de cox, escapula, ulna i FEur, potser vertebra tambe, tot sencer, arrels 1, no traces;;;;;;;;;0;1;NA3;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
n5048;180097;oc;AS;;r;c;;carnivore;1;;;9;120;EarlyRoman;;;;;;3;28,3;15,9;17,9;;;;;;;;;;;;0,020422671365303;;;;;;;;;
n3231;170028;oc;cox;illion;l;c;;burnt;3;;;;;Med;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
n4542;280465;oc;skull;amb borronet de banya, segurament esmussa;;sto;;roots;1;;;0;2;NR;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
n6638;280300;bota;RA;diaf;;c;;weathering, carnivore, roots;2;;;4;12;Vand;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;
n8977;290419;bota;P3;s;;;;fissures;1;;;9;120;NA2;;;;;;6;28,8;;;;;;;;;;;;;;;;;;;;;;;
n5734;280333;sudo;dn;m2 sup;r;c;;;0; +/-;;9;12;NR;;;;;;5;22,2;13,7;;;;;;;;;;;;;;;;;;;;;;
n1106;170056;oc;dn;molar sup;;sto;si;;;;;24;48;Med;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
