NInv;US;TAX;EL;Fragment;Side;Vora;Fract;Taphonomy;DegreeTapho;synostose;Sex;AgeMin;AgeMax;Chrono;Anthropic.marks;Recinte;TPQ;TAQ;Observ;Box;GL;Bp;Dp;SD;DD;Bd;Dd;BT;HTC;WCM;DEM;WCL;DEL;SLC
n2548;270127;oc;TI;diaf dist;r;c;si;burnt, roots;1;f;;15;120;NR;;;;;;2;;;;14;26,2;21;;;;;;;;
n10481;290217;oc;RA;diaf prox;l;c;;burnt, weathering;1;f prox;;9;120;NA3;;;;;;8;;33,5;16,6;;;;;;;;;;;
n1605;270063;bota;MC;diaf prox;r;c;si;fissures;2;;;12;120;NR;;;;;;1;;49;31,1;;;;;;;;;;;
n3913;280408;sudo;P3;s;;c;;roots;1;;;9;72;Vand;;;;;;4;28,6;12;15,9;;;;;;;;;;;
n6650;280315;oc;AS;;r;c;;weathering;1;;;9;120;Vand;;;;;;A;30,5;20,5;16,9;;;;;;;;;;;
n1802;270320B;sudo;MT IV;s;r;c;;fissures, roots;2;f;;24;72;Vand;;;;;;1;72;14,2;20,1;12,2;9,3;15;15,9;;;;;;;
n1597;270063;bota;skull;max: m1-m3;r;c;;weathering;2;m3 ++;;48;96;NR;;;;;;1;27,2;21,9;31,3;;;;;;;;;;;
n5906;280339;bota;vert;cos;;c;;;;;;;;NR;;;;;;5;;;;;;;;;21,4;;;;;
n10902;290432;bota;TI;diaf dist;l;c;;fissures;1;f;;30;120;NA1;;;;;;9;;;;;59,3;43,8;;;;;;;;
n2505;270126;oc;HU;diaf dist;r;c;si;fissures, weathering, carnivore;1;f;;9;120;NR;;;;;;2;;;;;;32,9;27;;;;;;;
n2170;270064;sudo;P3;s;;c;;;;f;;6;18;NR;;;;;;2;42,2;14,7;26,4;;;;;;;;;;;
n9817;290212;bota;RA;diaf prox;r;c;;fissures, roots;1;f prox;;12;120;NR;;;;;;8;;75;40,8;;;;;;;;;;;
n3377;170049;bota;AS;;r;c;;roots;2;;;6;120;Med;;;;;;3;58,5;32,2;35,8;;;;;;;;;;;
n3391;170049;oc;P3;s;;c;;roots;1;;;9;120;Med;;;;;;3;28,8;7,6;14,8;;;;;;;;;;;
n2354;270064;bota;P2;s;;c;;fissures;2;f;;24;120;NR;;;;;;2;40,7;31,1;30,5;24,4;27,8;29;;;;;;;;
n12073;190030;bota;AS;;l;lat;;roots;2;;;;;EarlyRoman;;;;;;11;64,2;35,6;;;;;;;;;;;;
n13337;***2315;bota;MC;diaf prox;r;c;;fissures;3;;;;;NR;;;;;;12;;54;33,1;;;;;;;;;;;
n12052;190030;bota;P1 ant;gs;;c;;roots, fissures;2;f;;24;120;EarlyRoman;;;;;;11;59;30,5;31,8;23,7;28,7;21,8;;;;;;;;
n1606;270063;bota;CA;;r;c;;carnivore, fissures, roots;2;;;12;120;NR;;;;;;1;;47,4;42,7;;;;;;;;;;;
n1589;270063;sudo;AS;;l;c;;burnt, carnivore;2;;;9;72;NR;;;;;;1;;18;18,2;;;;;;;;;;;
